gene_id	gene_name
ENSACLG00000009482	map1sb
ENSACLG00000009499	cep70
ENSACLG00000009863	NA
ENSACLG00000009888	svila
ENSACLG00000010251	rab25b
ENSACLG00000010528	NA
ENSACLG00000010695	tacc1
ENSACLG00000010949	pls3
ENSACLG00000011036	klhl41a
ENSACLG00000011141	sptan1
ENSACLG00000011214	ttc17
ENSACLG00000011313	prkci
ENSACLG00000011415	hook1
ENSACLG00000011449	mdm1
ENSACLG00000011655	NA
ENSACLG00000012140	NA
ENSACLG00000012283	fermt2
ENSACLG00000012376	NA
ENSACLG00000012379	klf6a
ENSACLG00000012383	cep41
ENSACLG00000012517	phactr4b
ENSACLG00000012646	haus3
ENSACLG00000012660	CAPZA2
ENSACLG00000012677	DIAPH1
ENSACLG00000012697	ccdc40
ENSACLG00000013248	tln2a
ENSACLG00000013519	NA
ENSACLG00000013522	itga3b
ENSACLG00000013675	daam1b
ENSACLG00000013717	smyd1b
ENSACLG00000014019	cetn4
ENSACLG00000014652	wasla
ENSACLG00000014679	NA
ENSACLG00000014714	spag1a
ENSACLG00000014738	fmnl2a
ENSACLG00000015015	atat1
ENSACLG00000015018	lcp1
ENSACLG00000015466	fgfr1op
ENSACLG00000015527	ccdc151
ENSACLG00000015559	pgm5
ENSACLG00000015596	ache
ENSACLG00000015598	map9
ENSACLG00000015686	klf1
ENSACLG00000015742	NA
ENSACLG00000016007	NA
ENSACLG00000016275	ssh1b
ENSACLG00000016483	cdc42bpb
ENSACLG00000016578	NA
ENSACLG00000016625	rock1
ENSACLG00000017504	CFAP46
ENSACLG00000017550	spire1a
ENSACLG00000017782	fkrp
ENSACLG00000017794	ckap5
ENSACLG00000017825	desma
ENSACLG00000017958	sptbn4b
ENSACLG00000018048	kank2
ENSACLG00000018262	rab25a
ENSACLG00000018399	cfl1
ENSACLG00000018402	katna1
ENSACLG00000018436	epb41a
ENSACLG00000018474	NA
ENSACLG00000018680	map7d2a
ENSACLG00000018873	tmod2
ENSACLG00000018874	tln1
ENSACLG00000018891	tln2b
ENSACLG00000019152	kiz
ENSACLG00000019173	fignl1
ENSACLG00000019398	arpc4l
ENSACLG00000019718	NA
ENSACLG00000020005	map1sa
ENSACLG00000020013	NA
ENSACLG00000020043	lrrc39
ENSACLG00000020132	tubgcp5
ENSACLG00000020150	spast
ENSACLG00000020350	HOOK3
ENSACLG00000020449	baiap2b
ENSACLG00000020531	arpc3
ENSACLG00000020606	NA
ENSACLG00000020631	NA
ENSACLG00000020774	dync1li1
ENSACLG00000021067	twf2b
ENSACLG00000021175	NA
ENSACLG00000021205	dspa
ENSACLG00000021285	stil
ENSACLG00000021381	tubb2
ENSACLG00000021682	mef2aa
ENSACLG00000021859	NA
ENSACLG00000021911	capza1a
ENSACLG00000021968	rock2b
ENSACLG00000022041	capzb
ENSACLG00000022055	ap1ar
ENSACLG00000022095	clasp1a
ENSACLG00000022579	cep350
ENSACLG00000022613	plecb
ENSACLG00000022807	TUBB
ENSACLG00000022866	NA
ENSACLG00000022943	si:ch1073-266p11.2
ENSACLG00000023001	wash1
ENSACLG00000023006	diaph3
ENSACLG00000023059	kank3
ENSACLG00000023093	racgap1
ENSACLG00000023192	fam49ba
ENSACLG00000023258	sdccag8
ENSACLG00000023290	cct5
ENSACLG00000023375	tfpi2
ENSACLG00000023622	NA
ENSACLG00000023632	hspd1
ENSACLG00000023829	dspb
ENSACLG00000023873	cyfip1
ENSACLG00000023908	map1ab
ENSACLG00000024065	baiap2a
ENSACLG00000024171	tppp3
ENSACLG00000024379	NA
ENSACLG00000024447	arpc4
ENSACLG00000024934	si:dkey-178k16.1
ENSACLG00000024949	katnb1
ENSACLG00000025010	dync1li2
ENSACLG00000025064	amotl2a
ENSACLG00000025084	ruvbl2
ENSACLG00000025129	smo
ENSACLG00000025374	fscn2a
ENSACLG00000025424	katnal2
ENSACLG00000025432	rock2a
ENSACLG00000025503	tubb5
ENSACLG00000025605	NA
ENSACLG00000025616	spire1b
ENSACLG00000025779	NA
ENSACLG00000025895	cx36.7
ENSACLG00000025914	xirp2a
ENSACLG00000025926	clstn1
ENSACLG00000026055	lzts2b
ENSACLG00000026171	klhl41b
ENSACLG00000026485	wasf3b
ENSACLG00000026500	pak7
ENSACLG00000026517	amotl2b
ENSACLG00000026640	map6a
ENSACLG00000026644	evlb
ENSACLG00000026651	parvb
ENSACLG00000026702	spice1
ENSACLG00000026720	NA
ENSACLG00000026750	daam2
ENSACLG00000026919	appl2
ENSACLG00000026935	pcm1
ENSACLG00000026953	gsna
ENSACLG00000026954	knstrn
ENSACLG00000027013	katnal1
ENSACLG00000027025	kank1b
ENSACLG00000027218	vill
ENSACLG00000027739	map1b
